"1","Christian McCaffrey","SF","9","RB1","","1","1","1.0"
"2","CeeDee Lamb","DAL","7","WR1","","2","2","2.0"
"3","Tyreek Hill","MIA","6","WR2","","3","3","3.0"
"4","Justin Jefferson","MIN","6","WR3","","4","6","5.0"
"5","Bijan Robinson","ATL","12","RB2","","6","5","5.5"
"6","Breece Hall","NYJ","12","RB3","","9","4","6.5"
"7","Ja'Marr Chase","CIN","12","WR4","","5","8","6.5"
"8","Amon-Ra St. Brown","DET","5","WR5","","7","7","7.0"
"9","A.J. Brown","PHI","5","WR6","","8","10","9.0"
"10","Jahmyr Gibbs","DET","5","RB4","","10","12","11.0"
"11","Saquon Barkley","PHI","5","RB5","","14","9","11.5"
"12","Jonathan Taylor","IND","14","RB6","","13","11","12.0"
"13","Puka Nacua","LAR","6","WR7","","11","13","12.0"
"14","Garrett Wilson","NYJ","12","WR8","","12","14","13.0"
"15","Kyren Williams","LAR","6","RB7","","16","17","16.5"
"16","Travis Etienne Jr.","JAC","12","RB8","","19","15","17.0"
"17","Marvin Harrison Jr.","ARI","11","WR9","","15","19","17.0"
"18","Davante Adams","LV","10","WR10","","18","16","17.0"
"19","Drake London","ATL","12","WR11","","17","21","19.0"
"20","De'Von Achane","MIA","6","RB9","","22","18","20.0"
"21","Josh Allen","BUF","12","QB1","","20","24","22.0"
"22","Derrick Henry","BAL","14","RB10","","25","20","22.5"
"23","Chris Olave","NO","12","WR12","","21","27","24.0"
"24","Josh Jacobs","GB","10 ","RB11","","26","22","24.0"
"25","Sam LaPorta","DET","5","TE1","","24","28","26.0"
"26","Isiah Pacheco","KC","6","RB12","","31","23","27.0"
"27","Deebo Samuel Sr.","SF","9","WR13","","30","25","27.5"
"28","Nico Collins","HOU","14","WR14","","28","29","28.5"
"29","Travis Kelce","KC","6","TE2","","27","32","29.5"
"30","Brandon Aiyuk","SF","9","WR15","","23","41","32.0"
"31","Jalen Hurts","PHI","5","QB2","","32","33","32.5"
"32","Michael Pittman Jr.","IND","14","WR16","","40","26","33.0"
"33","Mike Evans","TB","11","WR17","","29","39","34.0"
"34","Rachaad White","TB","11","RB13","","38","30","34.0"
"35","Stefon Diggs","HOU","14","WR18","","34","35","34.5"
"36","Jaylen Waddle","MIA","6","WR19","","33","37","35.0"
"37","Patrick Mahomes II","KC","6","QB3","","36","34","35.0"
"38","James Cook","BUF","12","RB14","","43","31","37.0"
"39","DK Metcalf","SEA","10","WR20","","41","36","38.5"
"40","DJ Moore","CHI","7","WR21","","35","44","39.5"
"41","Lamar Jackson","BAL","14","QB4","","37","43","40.0"
"42","Cooper Kupp","LAR","6","WR22","","42","38","40.0"
"43","Kenneth Walker III","SEA","10","RB15","","49","42","45.5"
"44","DeVonta Smith","PHI","5","WR23","","45","46","45.5"
"45","Alvin Kamara","NO","12","RB16","","52","40","46.0"
"46","Joe Mixon","HOU","14","RB17","","47","45","46.0"
"47","Trey McBride","ARI","11","TE3","","46","47","46.5"
"48","Malik Nabers","NYG","11","WR24","","39","56","47.5"
"49","Mark Andrews","BAL","14","TE4","","48","48","48.0"
"50","C.J. Stroud","HOU","14","QB5","","44","53","48.5"
"51","Dalton Kincaid","BUF","12","TE5","","51","49","50.0"
"52","George Pickens","PIT","9","WR25","","56","50","53.0"
"53","Anthony Richardson","IND","14","QB6","","54","52","53.0"
"54","Zay Flowers","BAL","14","WR26","","50","61","55.5"
"55","Amari Cooper","CLE","10","WR27","","57","54","55.5"
"56","Tee Higgins","CIN","12","WR28","","55","58","56.5"
"57","Aaron Jones","MIN","6","RB18","","59","55","57.0"
"58","Rhamondre Stevenson","NE","14","RB19","","68","51","59.5"
"59","James Conner","ARI","11","RB20","","60","59","59.5"
"60","D'Andre Swift","CHI","7","RB21","","66","57","61.5"
"61","Kyle Pitts","ATL","12","TE6","","58","65","61.5"
"62","Joe Burrow","CIN","12","QB7","","63","63","63.0"
"63","Keenan Allen","CHI","7","WR29","","61","67","64.0"
"64","George Kittle","SF","9","TE7","","62","69","65.5"
"65","Tank Dell","HOU","14","WR30","","53","80","66.5"
"66","David Montgomery","DET","5","RB22","","64","73","68.5"
"67","Najee Harris","PIT","9","RB23","","74","64","69.0"
"68","Terry McLaurin","WAS","14","WR31","","67","71","69.0"
"69","Christian Kirk","JAC","12","WR32","","65","74","69.5"
"70","Zamir White","LV","10","RB24","","78","62","70.0"
"71","Evan Engram","JAC","12","TE8","","72","70","71.0"
"72","Chris Godwin","TB","11","WR33","","77","66","71.5"
"73","Jordan Love","GB","10","QB8","","85","60","72.5"
"74","Dak Prescott","DAL","7","QB9","","73","72","72.5"
"75","Kyler Murray","ARI","11","QB10","","71","75","73.0"
"76","Jayden Reed","GB","10","WR34","","70","86","78.0"
"77","Calvin Ridley","TEN","5","WR35","","80","78","79.0"
"78","Raheem Mostert","MIA","6","RB25","","79","79","79.0"
"79","Zack Moss","CIN","12","RB26","","91","68","79.5"
"80","Tony Pollard","TEN","5","RB27","","84","83","83.5"
"81","Jonathon Brooks","CAR","11","RB28","","87","82","84.5"
"82","Hollywood Brown","KC","6","WR36","","81","89","85.0"
"83","Jaylen Warren","PIT","9","RB29","","95","77","86.0"
"84","Rashee Rice","KC","6","WR37","","83","90","86.5"
"85","Xavier Worthy","KC","6","WR38","","76","98","87.0"
"86","Diontae Johnson","CAR","11","WR39","","92","84","88.0"
"87","Nick Chubb","CLE","10","RB30","","89","87","88.0"
"88","Jake Ferguson","DAL","7","TE9","","90","88","89.0"
"89","Devin Singletary","NYG","11","RB31","","103","76","89.5"
"90","Austin Ekeler","WAS","14","RB32","","99","81","90.0"
"91","David Njoku","CLE","10","TE10","","88","92","90.0"
"92","Jordan Addison","MIN","6","WR40","","75","108","91.5"
"93","Ladd McConkey","LAC","5","WR41","","86","97","91.5"
"94","DeAndre Hopkins","TEN","5","WR42","","94","91","92.5"
"95","Javonte Williams","DEN","14","RB33","","93","93","93.0"
"96","Brian Robinson Jr.","WAS","14","RB34","","106","85","95.5"
