"1","Justin Jefferson","MIN","13","WR1","1","1","1","1","","1.0"
"2","Christian McCaffrey","SF","9","RB1","4","2","2","2","","2.5"
"3","Austin Ekeler","LAC","5","RB2","2","4","3","4","","3.3"
"4","Ja'Marr Chase","CIN","7","WR2","3","3","4","3","","3.3"
"5","Cooper Kupp","LAR","10","WR3","6","6","5","6","","5.8"
"6","Travis Kelce","KC","10","TE1","5","5","6","8","","6.0"
"7","Tyreek Hill","MIA","10","WR4","7","7","8","7","","7.3"
"8","Saquon Barkley","NYG","13","RB3","9","10","7","5","","7.8"
"9","Bijan Robinson","ATL","11","RB4","8","8","9","9","","8.5"
"10","Stefon Diggs","BUF","13","WR5","11","9","10","12","","10.5"
"11","CeeDee Lamb","DAL","7","WR6","14","11","15","11","","12.8"
"12","Davante Adams","LV","13","WR7","13","15","12","15","","13.8"
"13","Nick Chubb","CLE","5","RB5","15","14","17","10","","14.0"
"14","A.J. Brown","PHI","10","WR8","18","12","13","14","","14.3"
"15","Patrick Mahomes II","KC","10","QB1","12","13","16","21","","15.5"
"16","Derrick Henry","TEN","7","RB6","10","17","19","19","","16.3"
"17","Jonathan Taylor","IND","11","RB7","20","16","11","18","","16.3"
"18","Josh Jacobs","LV","13","RB8","16","20","14","23","","18.3"
"19","Amon-Ra St. Brown","DET","9","WR9","19","18","21","17","","18.8"
"20","Garrett Wilson","NYJ","7","WR10","21","19","20","16","","19.0"
"21","Tony Pollard","DAL","7","RB9","23","23","18","13","","19.3"
"22","Josh Allen","BUF","13","QB2","17","22","22","20","","20.3"
"23","Jaylen Waddle","MIA","10","WR11","24","21","25","25","","23.8"
"24","Jalen Hurts","PHI","10","QB3","22","24","23","27","","24.0"
"25","Rhamondre Stevenson","NE","11","RB10","35","27","28","22","","28.0"
"26","Mark Andrews","BAL","13","TE2","31","25","26","30","","28.0"
"27","DeVonta Smith","PHI","10","WR12","30","29","27","26","","28.0"
"28","Najee Harris","PIT","6","RB11","34","31","30","24","","29.8"
"29","Tee Higgins","CIN","7","WR13","27","28","29","36","","30.0"
"30","Breece Hall","NYJ","7","RB12","32","30","24","35","","30.3"
"31","Travis Etienne Jr.","JAX","9","RB13","28","33","31","29","","30.3"
"32","Chris Olave","NO","11","WR14","38","26","32","28","","31.0"
"33","DK Metcalf","SEA","5","WR15","26","32","34","37","","32.3"
"34","Joe Mixon","CIN","7","RB14","25","41","42","34","","35.5"
"35","Lamar Jackson","BAL","13","QB4","29","35","35","44","","35.8"
"36","Jahmyr Gibbs","DET","9","RB15","39","36","37","32","","36.0"
"37","Joe Burrow","CIN","7","QB5","36","34","33","41","","36.0"
"38","Deebo Samuel","SF","9","WR16","37","37","39","39","","38.0"
"39","Aaron Jones","GB","6","RB16","33","43","38","42","","39.0"
"40","Calvin Ridley","JAX","9","WR17","48","40","36","38","","40.5"
"41","Amari Cooper","CLE","5","WR18","43","45","45","40","","43.3"
"42","T.J. Hockenson","MIN","13","TE3","40","44","47","46","","44.3"
"43","Keenan Allen","LAC","5","WR19","41","39","52","49","","45.3"
"44","Kenneth Walker III","SEA","5","RB17","63","38","50","33","","46.0"
"45","Justin Fields","CHI","13","QB6","46","46","40","53","","46.3"
"46","Justin Herbert","LAC","5","QB7","47","48","44","47","","46.5"
"47","Miles Sanders","CAR","7","RB18","52","53","41","43","","47.3"
"48","Dameon Pierce","HOU","7","RB19","44","51","64","31","","47.5"
"49","George Kittle","SF","9","TE4","42","47","46","57","","48.0"
"50","Terry McLaurin","WAS","14","WR20","58","50","48","45","","50.3"
"51","DeAndre Hopkins","TEN","7","WR21","51","49","56","48","","51.0"
"52","DJ Moore","CHI","13","WR22","56","52","43","63","","53.5"
"53","Jerry Jeudy","DEN","9","WR23","50","55","60","59","","56.0"
"54","Darren Waller","NYG","13","TE5","45","63","54","66","","57.0"
"55","Christian Watson","GB","6","WR24","53","57","59","60","","57.3"
"56","Trevor Lawrence","JAX","9","QB8","65","58","49","65","","59.3"
"57","Alvin Kamara","NO","11","RB20","57","42","68","73","","60.0"
"58","Dalvin Cook","NYJ","","RB21","75","68","51","54","","62.0"
"59","Kyle Pitts","ATL","11","TE6","60","60","57","71","","62.0"
"60","Cam Akers","LAR","10","RB22","67","65","61","58","","62.8"
"61","Mike Williams","LAC","5","WR25","68","72","53","62","","63.8"
"62","James Conner","ARI","14","RB23","55","66","73","61","","63.8"
"63","Rachaad White","TB","5","RB24","49","74","83","52","","64.5"
"64","Dallas Goedert","PHI","10","TE7","62","64","58","77","","65.3"
"65","Alexander Mattison","MIN","13","RB25","66","59","94","50","","67.3"
"66","Chris Godwin","TB","5","WR26","54","62","86","67","","67.3"
"67","Drake London","ATL","11","WR27","78","54","69","70","","67.8"
"68","J.K. Dobbins","BAL","13","RB26","96","56","66","55","","68.3"
"69","D'Andre Swift","PHI","10","RB27","81","61","77","56","","68.8"
"70","Isiah Pacheco","KC","10","RB28","69","75","75","69","","72.0"
"71","Tyler Lockett","SEA","5","WR28","72","71","76","76","","73.8"
"72","Brandon Aiyuk","SF","9","WR29","74","67","84","72","","74.3"
"73","Deshaun Watson","CLE","5","QB9","71","88","55","85","","74.8"
"74","Mike Evans","TB","5","WR30","59","76","81","83","","74.8"
"75","Christian Kirk","JAX","9","WR31","84","73","80","64","","75.3"
"76","Javonte Williams","DEN","9","RB29","87","77","89","51","","76.0"
"77","Diontae Johnson","PIT","6","WR32","61","79","93","80","","78.3"
"78","Evan Engram","JAX","9","TE8","76","82","67","91","","79.0"
"79","Michael Pittman Jr.","IND","11","WR33","85","69","92","75","","80.3"
"80","James Cook","BUF","13","RB30","77","87","95","68","","81.8"
"81","Marquise Brown","ARI","14","WR34","73","70","117","81","","85.3"
"82","David Njoku","CLE","5","TE9","91","90","63","99","","85.8"
"83","David Montgomery","DET","9","RB31","80","80","109","74","","85.8"
"84","Dak Prescott","DAL","7","QB10","86","85","88","88","","86.8"
"85","George Pickens","PIT","6","WR35","83","81","106","82","","88.0"
"86","San Francisco 49ers","SF","9","DST1","64","125","62","107","","89.5"
"87","Tua Tagovailoa","MIA","10","QB11","103","93","72","101","","92.3"
"88","AJ Dillon","GB","6","RB32","101","92","105","78","","94.0"
"89","Jaxon Smith-Njigba","SEA","5","WR36","95","78","114","92","","94.8"
"90","Jahan Dotson","WAS","14","WR37","102","86","101","94","","95.8"
"91","Pat Freiermuth","PIT","6","TE10","79","84","126","95","","96.0"
"92","Brandin Cooks","DAL","7","WR38","92","95","103","97","","96.8"
"93","Jordan Addison","MIN","13","WR39","110","83","102","93","","97.0"
"94","Treylon Burks","TEN","7","WR40","104","89","107","100","","100.0"
"95","Jamaal Williams","NO","11","RB33","108","101","108","87","","101.0"
"96","Michael Thomas","NO","11","WR41","90","97","120","102","","102.3"
